name,draft_year,draft_number,college
Patrick Christopher,Undrafted,Undrafted,California
Patrick McCaw,2016,38,UNLV
Patrick O'Bryant,2006,9,Bradley
Patrick Patterson,2010,14,Kentucky
Patty Mills,2009,55,Saint Mary's (CA)
Pau Gasol,2001,3,None
Paul Davis,2006,34,Michigan State
Paul George,2010,10,Fresno State
Paul McPherson,Undrafted,Undrafted,DePaul
Paul Millsap,2006,47,Louisiana Tech
Paul Shirley,Undrafted,Undrafted,Iowa State
Paul Watson,Undrafted,Undrafted,Fresno State
Paul Zipser,2016,48,None
Pavel Podkolzin,2004,21,None
Pepe Sanchez,Undrafted,Undrafted,Temple
Pero Antic,Undrafted,Undrafted,None
Perry Jones III,2012,28,Baylor
Peter Aluma,Undrafted,Undrafted,Liberty
Peter John Ramos,2004,32,None
Peyton Siva,2013,56,Louisville
Phil Pressey,Undrafted,Undrafted,Missouri
Pierre Jackson,2013,42,Baylor
PJ Dozier,Undrafted,Undrafted,South Carolina
PJ Hairston,2014,26,North Carolina
PJ Tucker,2006,35,Texas
Pooh Jeter,Undrafted,Undrafted,Portland
Pops Mensah-Bonsu,Undrafted,Undrafted,George Washington
Predrag Savovic,Undrafted,Undrafted,Hawaii
Primoz Brezec,2000,27,None
Quentin Richardson,2000,18,DePaul
Quincy Acy,2012,37,Baylor
Quincy Douby,2006,19,Rutgers
Quincy Lewis,1999,19,Minnesota
Quincy Miller,2012,38,Baylor
Quincy Pondexter,2010,26,Washington
Quinn Cook,Undrafted,Undrafted,Duke
Quinndary Weatherspoon,2019,49,Mississippi State
Quinton Ross,Undrafted,Undrafted,Southern Methodist
Qyntel Woods,2002,21,Northeast Mississippi Community College
Rafael Araujo,2004,8,Brigham Young
Raja Bell,Undrafted,Undrafted,Florida International
Rajon Rondo,2006,21,Kentucky
Rakeem Christmas,2015,36,Syracuse
Ramon Sessions,2007,56,Nevada
Randell Jackson,1999,Undrafted,Florida State
Randolph Morris,Undrafted,Undrafted,Kentucky
Randy Foye,2006,7,Villanova
Randy Holcomb,2002,56,San Diego State
Rashad McCants,2005,14,North Carolina
Rashad Vaughn,2015,17,UNLV
Rasual Butler,2002,52,La Salle
Ratko Varda,Undrafted,Undrafted,None
Raul Lopez,2001,24,None
Raul Neto,2013,47,None
Rawle Alkins,Undrafted,Undrafted,None
Rawle Marshall,Undrafted,Undrafted,Oakland
Ray McCallum,2013,36,Detroit Mercy
Ray Owes,Undrafted,Undrafted,Arizona
Ray Spalding,2018,56,Louisville
Rayjon Tucker,Undrafted,Undrafted,None
Raymond Felton,2005,5,North Carolina
Reece Gaines,2003,15,Louisville
Reggie Bullock,2013,25,North Carolina
Reggie Evans,Undrafted,Undrafted,Iowa
Reggie Hearn,Undrafted,Undrafted,Northwestern
Reggie Jackson,2011,24,Boston College
Reggie Jordan,Undrafted,Undrafted,New Mexico State
Reggie Slater,Undrafted,Undrafted,Wyoming
Renaldo Balkman,2006,20,South Carolina
Renaldo Major,Undrafted,Undrafted,Fresno State
Richard Hamilton,1999,7,Connecticut
Richard Jefferson,2001,13,Arizona
Richaun Holmes,2015,37,Bowling Green
Richie Frahm,Undrafted,Undrafted,Gonzaga
Rick Brunson,Undrafted,Undrafted,Temple
Rick Hughes,Undrafted,Undrafted,Thomas More
Ricky Ledo,2013,43,Providence
Ricky Rubio,2009,5,None
RJ Barrett,2019,3,Duke
RJ Hunter,2015,28,Georgia State
Rob Kurz,Undrafted,Undrafted,Notre Dame
Robbie Hummel,2012,58,Purdue
Robert Archibald,2002,31,Illinois
Robert Covington,Undrafted,Undrafted,Tennessee State
Robert Hite,Undrafted,Undrafted,Miami (FL)
Robert Pack,Undrafted,Undrafted,Southern California
Robert Sacre,2012,60,Gonzaga
Robert Swift,2004,12,None
Robert Whaley,2005,51,Walsh
Robert Williams III,2018,27,Texas A&M
Robin Lopez,2008,15,Stanford
Rodions Kurucs,2018,40,None
Rodney Buford,1999,53,Creighton
Rodney Carney,2006,16,Memphis
Rodney Hood,2014,23,Duke
Rodney McGruder,Undrafted,Undrafted,Kansas State
Rodney Purvis,Undrafted,Undrafted,Connecticut
Rodney Stuckey,2007,15,Eastern Washington
Rodney White,2001,9,North Carolina-Charlotte
Rodrigue Beaubois,2009,25,None
Roger Mason Jr.,2002,30,Virginia
Roger Powell,Undrafted,Undrafted,Illinois
Roko Ukic,2005,41,None
Romeo Langford,2019,14,Indiana
Ron Baker,Undrafted,Undrafted,Wichita State
Ronald Dupree,Undrafted,Undrafted,Louisiana State
Rondae Hollis-Jefferson,2015,23,Arizona
Ronnie Brewer,2006,14,Arkansas
Ronnie Price,Undrafted,Undrafted,Utah Valley
Ronny Turiaf,2005,37,Gonzaga
Roy Hibbert,2008,17,Georgetown
Royal Ivey,2004,37,Texas
Royce O'Neale,Undrafted,Undrafted,Baylor
Royce White,2012,16,Iowa State
Ruben Boumtje-Boumtje,2001,49,Georgetown
Ruben Garces,Undrafted,Undrafted,Providence
Ruben Nembhard,Undrafted,Undrafted,Weber State
Ruben Wolkowyski,Undrafted,Undrafted,None
Rudy Fernandez,2007,24,None
Rudy Gay,2006,8,Connecticut
Rudy Gobert,2013,27,None
Rui Hachimura,2019,9,Gonzaga
Russ Smith,2014,47,Louisville
Russell Westbrook,2008,4,UCLA
Rusty LaRue,Undrafted,Undrafted,Wake Forest
Ryan Anderson,2008,21,California
Ryan Arcidiacono,Undrafted,Undrafted,Villanova
Ryan Broekhoff,Undrafted,Undrafted,None
Ryan Gomes,2005,50,Providence
Ryan Hollins,2006,50,UCLA
Ryan Humphrey,2002,19,Notre Dame
Ryan Kelly,2013,48,Duke
Ryan Reid,2010,57,Florida State
Ryan Robertson,1999,45,Kansas
Salah Mejri,Undrafted,Undrafted,None
Salim Stoudamire,2005,31,Arizona
Sam Dekker,2015,18,Wisconsin
Sam Mack,Undrafted,Undrafted,Houston
Sam Young,2009,36,Pittsburgh
Samardo Samuels,Undrafted,Undrafted,Louisville
Samuel Dalembert,2001,26,Seton Hall
Sarunas Jasikevicius,Undrafted,Undrafted,Maryland
Sasha Kaun,2008,56,Kansas
Sasha Pavlovic,2003,19,None
Sasha Vujacic,2004,27,None
Scott Brooks,Undrafted,Undrafted,California-Irvine
Scott Machado,Undrafted,Undrafted,Iona
Scott Padgett,1999,28,Kentucky
Scott Williams,Undrafted,Undrafted,North Carolina
Scotty Hopson,Undrafted,Undrafted,Tennessee
Sean Colson,Undrafted,Undrafted,North Carolina-Charlotte
Sean Kilpatrick,Undrafted,Undrafted,Cincinnati
Sean Lampley,2001,44,California
Sean May,2005,13,North Carolina
Sean Singletary,2008,42,Virginia
Sean Williams,2007,17,Boston College
Sebastian Telfair,2004,13,None
Sekou Doumbouya,2019,15,None
Semaj Christon,2014,55,Xavier
Semi Ojeleye,2017,37,Southern Methodist
Semih Erden,2008,60,None
Serge Ibaka,2008,24,None
Sergei Monia,2004,23,None
Sergey Karasev,2013,19,None
Sergio Rodriguez,2006,27,None
Seth Curry,Undrafted,Undrafted,Duke
Shabazz Muhammad,2013,14,UCLA
Shabazz Napier,2014,24,Connecticut
Shai Gilgeous-Alexander,2018,11,Kentucky
Shake Milton,2018,54,Southern Methodist
Shamorie Ponds,Undrafted,Undrafted,None
Shane Battier,2001,6,Duke
Shane Edwards,Undrafted,Undrafted,Arkansas-Little Rock
Shane Heal,Undrafted,Undrafted,None
Shane Larkin,2013,18,Miami
Shannon Brown,2006,25,Michigan State
Shaquille Harrison,Undrafted,Undrafted,Tulsa
Sharrod Ford,Undrafted,Undrafted,Clemson
Shaun Livingston,2004,4,None
Shavlik Randolph,Undrafted,Undrafted,Duke
Shawn Long,Undrafted,Undrafted,Louisiana-Lafayette
Shawn Marion,1999,9,Nevada-Las Vegas
Shawne Williams,2006,17,Memphis
Shayne Whittington,Undrafted,Undrafted,Western Michigan
Shea Seals,Undrafted,Undrafted,Tulsa
Shelden Williams,2006,5,Duke
Sheldon Mac,Undrafted,Undrafted,Miami (Fla.)
Shelvin Mack,2011,34,Butler
Sherron Collins,Undrafted,Undrafted,Kansas
Sim Bhullar,Undrafted,Undrafted,New Mexico State
Sindarius Thornwell,2017,48,South Carolina
Skal Labissiere,2016,28,Kentucky
Slava Medvedenko,Undrafted,Undrafted,None
Slavko Vranes,2003,39,None
Smush Parker,Undrafted,Undrafted,Fordham
Solomon Alabi,2010,50,Florida State
Solomon Hill,2013,23,Arizona
Solomon Jones,2006,33,South Florida
Sonny Weems,2008,39,Arkansas
Soumaila Samake,2000,36,None
Speedy Claxton,2000,20,Hofstra
Spencer Dinwiddie,2014,38,Colorado
Spencer Hawes,2007,10,Washington
Stanley Johnson,2015,8,Arizona
Stanton Kidd,Undrafted,Undrafted,Colorado State
Stephane Lasme,2007,46,Massachusetts
Stephen Curry,2009,7,Davidson
Stephen Graham,Undrafted,Undrafted,Oklahoma State
Stephen Howard,Undrafted,Undrafted,DePaul
Stephen Zimmerman,2016,41,Nevada-Las Vegas
Sterling Brown,2017,46,Southern Methodist
Steve Blake,2003,38,Maryland
Steve Francis,1999,2,Maryland
Steve Goodrich,Undrafted,Undrafted,Princeton
Steve Novak,2006,32,Marquette
Steven Adams,2013,12,Pittsburgh
Steven Hill,Undrafted,Undrafted,Arkansas
Steven Hunter,2001,15,DePaul
Stevin Smith,Undrafted,Undrafted,Arizona State
Stojko Vrankovic,Undrafted,Undrafted,None
Stromile Swift,2000,2,Louisiana State
Sun Sun,2007,40,None
Sundiata Gaines,Undrafted,Undrafted,Georgia
Svi Mykhailiuk,2018,47,Kansas
T.J. Ford,2003,8,Texas
T.J. McConnell,Undrafted,Undrafted,Arizona
T.J. Warren,2014,14,North Carolina State
Tacko Fall,Undrafted,Undrafted,None
Tahjere McCall,Undrafted,Undrafted,Tennessee State
Taj Gibson,2009,26,USC
Talen Horton-Tucker,2019,46,Iowa State
Tamar Slay,2002,53,Marshall
Tang Hamilton,Undrafted,Undrafted,Mississippi State
Tarence Kinsey,Undrafted,Undrafted,South Carolina
Tarik Black,Undrafted,Undrafted,Kansas
Tariq Owens,Undrafted,Undrafted,Texas Tech
Taurean Green,2007,52,Florida
Taurean Prince,2016,12,Baylor
Taylor Griffin,2009,48,Oklahoma
Tayshaun Prince,2002,23,Kentucky
Terance Mann,2019,48,Florida State
Terence Davis,Undrafted,Undrafted,None
Terence Morris,2001,33,Maryland
Terrance Ferguson,2017,21,None
Terrance Roberson,Undrafted,Undrafted,Fresno State
Terrel Harris,Undrafted,Undrafted,Oklahoma State
Terrence Jones,2012,18,Kentucky
Terrence Ross,2012,8,Washington
Terrence Williams,2009,11,Louisville
Terry Davis,Undrafted,Undrafted,Virginia Union
Terry Rozier,2015,16,Louisville
Thabo Sefolosha,2006,13,None
Thaddeus Young,2007,12,Georgia Tech
Thanasis Antetokounmpo,2014,51,None
Theo Pinson,Undrafted,Undrafted,None
Theron Smith,Undrafted,Undrafted,Ball State
Thomas Bryant,2017,42,Indiana
Thomas Gardner,Undrafted,Undrafted,Missouri
Thomas Hamilton,Undrafted,Undrafted,Pittsburgh
Thomas Robinson,2012,5,Kansas
Thomas Welsh,2018,58,UCLA
Thon Maker,2016,10,None
Tiago Splitter,2007,28,None
Tibor Pleiss,2010,31,None
Tierre Brown,Undrafted,Undrafted,McNeese State
Tim Breaux,Undrafted,Undrafted,Wyoming
Tim Frazier,Undrafted,Undrafted,None
Tim Hardaway Jr.,2013,24,Michigan
Tim James,1999,25,Miami (FL)
Tim Legler,Undrafted,Undrafted,La Salle
Tim Ohlbrecht,Undrafted,Undrafted,None
Tim Quarterman,Undrafted,Undrafted,Louisiana State
Tim Young,1999,56,Stanford
Timofey Mozgov,Undrafted,Undrafted,None
Timothe Luwawu-Cabarrot,2016,24,None
Tito Maddox,2002,37,Fresno State
TJ Leaf,2017,18,UCLA
TJ Warren,2014,14,North Carolina State
Tobias Harris,2011,19,Tennessee
Todd MacCulloch,1999,47,Washington
Tomas Satoransky,2012,32,None
Toney Douglas,2009,29,Florida State
Tony Allen,2004,25,Oklahoma State
Tony Bobbitt,Undrafted,Undrafted,Cincinnati
Tony Bradley,2017,28,North Carolina
Tony Farmer,Undrafted,Undrafted,Nebraska
Tony Mitchell,2013,37,North Texas
Tony Parker,2001,28,None
Tony Snell,2013,20,New Mexico
Tony Wroten,2012,25,Washington
Tornike Shengelia,2012,54,None
Torrey Craig,Undrafted,Undrafted,South Carolina Upstate
Toure' Murry,Undrafted,Undrafted,Wichita State
Tracy Moore,Undrafted,Undrafted,Tulsa
Trae Young,2018,5,Oklahoma
Trajan Langdon,1999,11,Duke
Travis Diener,2005,38,Marquette
Travis Hansen,2003,37,Brigham Young
Travis Leslie,2011,47,Georgia
Travis Outlaw,2003,23,None
Travis Wear,Undrafted,Undrafted,UCLA
Travis Williams,Undrafted,Undrafted,South Carolina State
Tremont Waters,2019,51,Louisiana State
Trenton Hassell,2001,29,Austin Peay
Treveon Graham,Undrafted,Undrafted,Virginia Commonwealth
Trevon Duval,Undrafted,Undrafted,None
Trevor Ariza,2004,43,UCLA
Trevor Booker,2010,23,Clemson
Trevor Winter,Undrafted,Undrafted,Minnesota
Trey Burke,2013,9,Michigan
Trey Gilder,Undrafted,Undrafted,Northwestern State
Trey Johnson,Undrafted,Undrafted,Jackson State
Trey Lyles,2015,12,Kentucky
Trey McKinney-Jones,Undrafted,Undrafted,Miami (FL)
Trey Thompkins,2011,37,Georgia
Tristan Thompson,2011,4,Texas
Troy Bell,2003,16,Boston College
Troy Brown Jr.,2018,15,Oregon
Troy Caupain,Undrafted,Undrafted,Cincinnati
Troy Daniels,Undrafted,Undrafted,Virginia Commonwealth
Troy Hudson,Undrafted,Undrafted,Southern Illinois
Troy Murphy,2001,14,Notre Dame
Troy Williams,Undrafted,Undrafted,Indiana
Ty Jerome,2019,24,Virginia
Ty Lawson,2009,18,North Carolina
Tyler Cavanaugh,Undrafted,Undrafted,George Washington
Tyler Cook,Undrafted,Undrafted,None
Tyler Davis,Undrafted,Undrafted,None
Tyler Dorsey,2017,41,Oregon
Tyler Ennis,2014,18,Syracuse
Tyler Hansbrough,2009,13,North Carolina
Tyler Herro,2019,13,Kentucky
Tyler Honeycutt,2011,35,UCLA
Tyler Johnson,Undrafted,Undrafted,Fresno State
Tyler Lydon,2017,24,Syracuse
Tyler Ulis,2016,34,Kentucky
Tyler Zeller,2012,17,North Carolina
Tyreke Evans,2009,4,Memphis
Tyrone Nesby,Undrafted,Undrafted,Nevada-Las Vegas
Tyrone Wallace,2016,60,California
Tyrus Thomas,2006,4,Louisiana State
Tyshawn Taylor,2012,41,Kansas
Tyson Chandler,2001,2,None
Tyus Jones,2015,24,Duke
Udonis Haslem,Undrafted,Undrafted,Florida
Uros Slokar,2005,58,None
Vander Blue,Undrafted,Undrafted,Marquette
Vassilis Spanoulis,2004,50,None
Vernon Macklin,2011,52,Florida
Viacheslav Kravtsov,Undrafted,Undrafted,None
Vic Law,Undrafted,Undrafted,Northwestern
Victor Claver,2009,22,None
Victor Oladipo,2013,2,Indiana
Viktor Khryapa,2004,22,None
Vincent Edwards,2018,52,Purdue
Vincent Hunter,Undrafted,Undrafted,Texas-El Paso
Vincent Poirier,Undrafted,Undrafted,None
Vincent Yarbrough,2002,32,Tennessee
Vitor Faverani,Undrafted,Undrafted,None
Vladimir Radmanovic,2001,12,None
Vlatko Cancar,2017,49,None
Von Wafer,2005,39,Florida State
Vonteego Cummings,1999,26,Pittsburgh
Wade Baldwin IV,2016,17,Vanderbilt
Wally Szczerbiak,1999,6,Miami (OH)
Walt Lemon Jr.,Undrafted,Undrafted,None
Walter Herrmann,Undrafted,Undrafted,None
Walter Sharpe,2008,32,Alabama-Birmingham
Wang Zhi-zhi,1999,36,None
Wayne Ellington,2009,28,North Carolina
Wayne Selden,Undrafted,Undrafted,Kansas
Wayne Simien,2005,29,Kansas
Wayne Turner,Undrafted,Undrafted,Kentucky
Wendell Carter Jr.,2018,7,Duke
Wenyen Gabriel,Undrafted,Undrafted,None
Wes Iwundu,2017,33,Kansas State
Wesley Johnson,2010,4,Syracuse
Wesley Matthews,Undrafted,Undrafted,Marquette
Will Barton,2012,40,Memphis
Will Blalock,2006,60,Iowa State
Will Bynum,Undrafted,Undrafted,Georgia Tech
Will Cherry,Undrafted,Undrafted,Montana
Will Conroy,Undrafted,Undrafted,Washington
Will Solomon,2001,32,Clemson
William Avery,1999,14,Duke
William Cunningham,Undrafted,Undrafted,Temple
William Howard,Undrafted,Undrafted,None
Willie Cauley-Stein,2015,6,Kentucky
Willie Green,2003,41,Detroit Mercy
Willie Reed,Undrafted,Undrafted,Saint Louis
Willie Warren,2010,54,Oklahoma
Willy Hernangomez,2015,35,None
Wilson Chandler,2007,23,DePaul
Xavier Henry,2010,12,Kansas
Xavier Munford,Undrafted,Undrafted,Rhode Island
Xavier Rathan-Mayes,Undrafted,Undrafted,Florida State
Xavier Silas,2011,Undrafted,Northern Illinois
Yakhouba Diawara,Undrafted,Undrafted,Pepperdine
Yante Maten,Undrafted,Undrafted,None
Yao Ming,2002,1,None
Yaroslav Korolev,2005,12,None
Yi Jianlian,2007,6,None
Yogi Ferrell,Undrafted,Undrafted,Indiana
Yuta Tabuse,Undrafted,Undrafted,Brigham Young-Hawaii
Yuta Watanabe,Undrafted,Undrafted,George Washington
Zabian Dowdell,Undrafted,Undrafted,Virginia Tech
Zach Collins,2017,10,Gonzaga
Zach LaVine,2014,13,UCLA
Zach Lofton,Undrafted,Undrafted,New Mexico State
Zach Norvell Jr.,Undrafted,Undrafted,None
Zach Randolph,2001,19,Michigan State
Zarko Cabarkapa,2003,17,None
Zaza Pachulia,2003,42,None
Zendon Hamilton,Undrafted,Undrafted,St. John's (NY)
Zhaire Smith,2018,16,Texas Tech
Zhou Qi,2016,43,None
Zion Williamson,2019,1,Duke
Zoran Dragic,Undrafted,Undrafted,None
Zoran Planinic,2003,22,None
Zylan Cheatham,Undrafted,Undrafted,None
